Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
12	4	2	6	12	5	10	1.3	10	1.1
12	5	1	0	0	10	10	0	10	1.1
12	5	2	6	12	5	10	1.3	10	1.2
12	6	1	0	0	10	10	0	10	1.1
12	6	2	11	22	2	10	2.3	10	1.1
12	7	1	1.5	3	8	10	0.3	10	1.1
12	7	2	14	26	2	10	2.7	10	1.2
12	8	1	4.5	7	6	10	0.8	10	1.1
12	8	2	15	34	0	10	3.5	10	1.2
12	9	1	6	12	5	10	1.3	10	1
12	9	2	18	39	0	10	4	10	1
12	10	1	6	12	5	10	1.3	10	1.1
12	10	2	22	93	0	10	9.4	10	1
13	1	1	0	0	10	10	0	10	1.1
13	1	2	6.5	13	5	10	1.3	10	1.1
13	2	1	0	0	10	10	0	10	1.1
13	2	2	6.5	13	5	10	1.3	10	1.1
13	3	1	0	0	10	10	0	10	1.1
13	3	2	6.5	13	5	10	1.3	10	1.1
13	4	1	0	0	10	10	0	10	1.1
13	4	2	10	28	5	10	2.8	10	1
13	5	1	0	0	10	10	0	10	1.1
13	5	2	13	33	4	10	3.4	10	1.1
13	6	1	0	0	10	10	0	10	1.3
13	6	2	13.5	32	3	10	3.2	10	1.2
13	7	1	0	0	10	10	0	10	1.5
13	7	2	13	34	4	10	3.5	10	1
13	8	1	5	8	6	10	0.8	10	1.3
13	8	2	13	34	4	10	3.5	10	1
13	9	1	6.5	13	5	10	1.3	10	1.1
13	9	2	17.5	46	3	10	4.7	10	1
13	10	1	6.5	13	5	10	1.3	10	1.1
13	10	2	22.5	52	1	10	5.4	10	1.1
14	1	1	0	0	10	10	0	10	1
14	1	2	7	10	6	10	1	10	1
14	2	1	0	0	10	10	0	10	1
14	2	2	7	10	6	10	1	10	1
14	3	1	0	0	10	10	0	10	1
14	3	2	7	10	6	10	1	10	1
14	4	1	0	0	10	10	0	10	1
14	4	2	7	10	6	10	1	10	1
14	5	1	0	0	10	10	0	10	1
14	5	2	7	10	6	10	1	10	1.1
14	6	1	0	0	10	10	0	10	1
14	6	2	7	10	6	10	1	10	1.1
14	7	1	0	0	10	10	0	10	1.1
14	7	2	18	34	5	10	3.4	10	1.4
