48	50	11
49	10	3.5
49	20	1
49	30	3
49	40	11
49	50	8.5
50	10	4
50	20	7
50	30	4
50	40	16
50	50	18.5
51	10	0
51	20	1
51	30	6
51	40	11.5
51	50	13
52	10	2
52	20	3
52	30	4
52	40	17
52	50	15
53	10	1
53	20	2
53	30	1
53	40	11.5
53	50	9
54	10	2
54	20	3
54	30	7.5
54	40	6
54	50	6.5
55	10	2
55	20	4
55	30	8.5
55	40	7
55	50	16.5
56	10	1
56	20	3.5
56	30	6.5
56	40	4
56	50	7.5
57	10	5
57	20	3
57	30	4.5
57	40	8.5
57	50	11.5
58	10	2
58	20	4.5
58	30	6.5
58	40	7.5
58	50	15
59	10	2
59	20	4
59	30	12
59	40	5.5
59	50	4.5
60	10	5.5
60	20	5
60	30	3.5
60	40	10
60	50	12
61	10	1
61	20	5
61	30	5
61	40	9.5
61	50	12.5
62	10	1
62	20	2.5
62	30	4
62	40	4
62	50	10.5
63	10	1
63	20	5
63	30	2
63	40	8
63	50	9.5
64	10	1.5
64	20	2.5
64	30	7
64	40	13.5
64	50	15.5
65	10	3
65	20	5.5
65	30	5.5
65	40	8
65	50	17
66	10	0
66	20	2
66	30	5
66	40	9
66	50	6
67	10	2
67	20	8
67	30	11
67	40	8.5
67	50	16
68	10	1.5
68	20	4
68	30	4
68	40	4.5
68	50	8
69	10	2
69	20	5
69	30	5.5
69	40	11
69	50	12
70	10	4
70	20	6
70	30	4.5
70	40	7.5
70	50	6.5
71	10	2.5
71	20	6.5
71	30	2.5
71	40	9.5
71	50	10
72	10	0
72	20	0
72	30	7
72	40	16.5
72	50	7
73	10	4
73	20	3
73	30	3
73	40	7.5
73	50	16.5
74	10	3.5
74	20	2.5
74	30	8
74	40	9
74	50	14.5
75	10	2
75	20	9.5
75	30	6.5
75	40	12.5
75	50	15
76	10	3.5
76	20	8.5
76	30	10
76	40	12
76	50	13
77	10	1
77	20	0
77	30	3
77	40	12.5
77	50	18.5
78	10	0
78	20	3
78	30	6.5
78	40	13.5
78	50	9
79	10	4
79	20	6.5
79	30	11
79	40	11
79	50	11
80	10	4.5
80	20	4.5
80	30	0.5
80	40	13
80	50	15.5
81	10	1.5
81	20	1.5
81	30	4
81	40	5.5
81	50	9.5
82	10	4
82	20	5.5
82	30	6.5
82	40	11.5
82	50	9.5
83	10	2.5
83	20	6
83	30	9
83	40	8.5
83	50	7
84	10	4.5
84	20	3.5
84	30	6
84	40	7.5
84	50	12.5
85	10	1.5
85	20	1
85	30	12
85	40	7
85	50	8
86	10	0
86	20	4
86	30	9
86	40	4.5
86	50	15
87	10	3
87	20	4.5
87	30	3
87	40	9
87	50	13.5
88	10	4
88	20	3
88	30	2.5
88	40	5.5
88	50	10.5
89	10	1
89	20	3
89	30	2
89	40	14.5
89	50	12.5
90	10	1.5
90	20	3
90	30	7.5
90	40	21.5
90	50	16.5
91	10	0.5
91	20	2.5
91	30	1.5
91	40	10
91	50	8.5
92	10	2
92	20	3.5
92	30	14
92	40	11.5
92	50	18.5
93	10	0
93	20	2
93	30	11.5
93	40	5
93	50	13
94	10	2.5
94	20	5
94	30	9
94	40	7.5
94	50	14
95	10	0
95	20	7
95	30	7
95	40	4
95	50	20.5
96	10	1.5
96	20	2
96	30	2.5
96	40	8
96	50	9.5
97	10	0.5
97	20	8
97	30	5
97	40	13.5
97	50	15.5
98	10	0
98	20	5
98	30	1
98	40	6.5
98	50	7
99	10	1
99	20	4
99	30	12.5
99	40	11
99	50	9
100	10	1
100	20	2.5
100	30	2.5
100	40	10
100	50	11
